stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
0600MA0621,chegawd,"Alderley Edge, Brook Lane Corner (SW-bound)",53.31081,-2.25460,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0621
0600MA0622,chegawg,"Alderley Edge, Brook Lane Corner (NE-bound, Unmarked)",53.31084,-2.25485,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA0622
0600MA17172,chetdtd,"Alderley Park, Mereside (SE-bound)",53.27594,-2.23010,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA17172
0600MA17435,chetgap,"Little Bollington, Roundabout (W-bound)",53.36900,-2.38907,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA17435
0600MA17437,chetgtp,"Little Bollington, Roundabout (E-bound)",53.36915,-2.38983,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA17437
0600MA17439,chetgtj,"Handforth Dean, o/s Shopping Centre",53.34942,-2.20380,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA17439
0600MA19010,chetpwa,"Morley Green, opp Congregational Church",53.33498,-2.26534,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19010
0600MA19020,chetwdt,"Woodend, nr Woodend Barn",53.36978,-2.03326,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19020
0600MA19021,chetwgd,"Woodend, opp Woodend Barn",53.36996,-2.03452,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19021
0600MA19022,chetwdj,"Woodend, opp Woodend Farm",53.37113,-2.03677,http://www.transportdirect.info/web2/journeyplanning/StopInformationLandingPage.aspx?et=si&id=GTDF&ef=m&st=n&sd=0600MA19022
